date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:15	3115/3115	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2023%20Oct%202024%2008:54:55%20GMT	https://live.themewild.com/constro/assets/img/icon/maintenance.svg	D:/school2/school/live.themewild.com/constro/assets/img/icon/maintenance.svg	(from https://live.themewild.com/constro/index-3.html)
13:22:15	43098/43098	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Oct%202024%2010:20:09%20GMT	https://live.themewild.com/constro/assets/img/service/03.jpg	D:/school2/school/live.themewild.com/constro/assets/img/service/03.jpg	(from https://live.themewild.com/constro/index-3.html)
13:22:15	133628/133628	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Oct%202024%2006:04:57%20GMT	https://live.themewild.com/constro/assets/img/about/01.jpg	D:/school2/school/live.themewild.com/constro/assets/img/about/01.jpg	(from https://live.themewild.com/constro/index-3.html)
13:22:15	3582/3582	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2023%20Oct%202024%2008:59:13%20GMT	https://live.themewild.com/constro/assets/img/icon/design-2.svg	D:/school2/school/live.themewild.com/constro/assets/img/icon/design-2.svg	(from https://live.themewild.com/constro/index-3.html)
13:22:16	1950/1950	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2023%20Oct%202024%2009:03:42%20GMT	https://live.themewild.com/constro/assets/img/icon/plan.svg	D:/school2/school/live.themewild.com/constro/assets/img/icon/plan.svg	(from https://live.themewild.com/constro/index-3.html)
13:22:16	55747/55747	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Oct%202024%2009:57:56%20GMT	https://live.themewild.com/constro/assets/img/service/04.jpg	D:/school2/school/live.themewild.com/constro/assets/img/service/04.jpg	(from https://live.themewild.com/constro/index-3.html)
13:22:16	59414/59414	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Oct%202024%2009:56:40%20GMT	https://live.themewild.com/constro/assets/img/service/05.jpg	D:/school2/school/live.themewild.com/constro/assets/img/service/05.jpg	(from https://live.themewild.com/constro/index-3.html)
13:22:16	2288/2288	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2023%20Oct%202024%2009:06:40%20GMT	https://live.themewild.com/constro/assets/img/icon/contract.svg	D:/school2/school/live.themewild.com/constro/assets/img/icon/contract.svg	(from https://live.themewild.com/constro/index-3.html)
13:22:17	7080/7080	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2023%20Oct%202024%2009:17:39%20GMT	https://live.themewild.com/constro/assets/img/icon/building.svg	D:/school2/school/live.themewild.com/constro/assets/img/icon/building.svg	(from https://live.themewild.com/constro/index-3.html)
13:22:17	59728/59728	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Oct%202024%2010:18:32%20GMT	https://live.themewild.com/constro/assets/img/service/06.jpg	D:/school2/school/live.themewild.com/constro/assets/img/service/06.jpg	(from https://live.themewild.com/constro/index-3.html)
13:22:17	49165/49165	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Oct%202024%2010:22:33%20GMT	https://live.themewild.com/constro/assets/img/service/07.jpg	D:/school2/school/live.themewild.com/constro/assets/img/service/07.jpg	(from https://live.themewild.com/constro/index-3.html)
13:22:18	2567/2567	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2023%20Oct%202024%2009:19:18%20GMT	https://live.themewild.com/constro/assets/img/icon/sustainability.svg	D:/school2/school/live.themewild.com/constro/assets/img/icon/sustainability.svg	(from https://live.themewild.com/constro/index-3.html)
13:22:19	64286/64286	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Oct%202024%2010:11:49%20GMT	https://live.themewild.com/constro/assets/img/service/08.jpg	D:/school2/school/live.themewild.com/constro/assets/img/service/08.jpg	(from https://live.themewild.com/constro/index-3.html)
13:22:19	3037/3037	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2023%20Oct%202024%2009:10:09%20GMT	https://live.themewild.com/constro/assets/img/icon/architecture.svg	D:/school2/school/live.themewild.com/constro/assets/img/icon/architecture.svg	(from https://live.themewild.com/constro/index-3.html)
13:22:19	3923/3923	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2024%20Oct%202024%2003:59:35%20GMT	https://live.themewild.com/constro/assets/img/icon/service.svg	D:/school2/school/live.themewild.com/constro/assets/img/icon/service.svg	(from https://live.themewild.com/constro/index-3.html)
13:22:19	3619/3619	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2022%20Oct%202024%2005:11:34%20GMT	https://live.themewild.com/constro/assets/img/icon/consultation.svg	D:/school2/school/live.themewild.com/constro/assets/img/icon/consultation.svg	(from https://live.themewild.com/constro/index-3.html)
13:22:20	3736/3736	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2022%20Oct%202024%2005:10:16%20GMT	https://live.themewild.com/constro/assets/img/icon/money.svg	D:/school2/school/live.themewild.com/constro/assets/img/icon/money.svg	(from https://live.themewild.com/constro/index-3.html)
13:22:20	2064/2064	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2024%20Oct%202024%2004:05:34%20GMT	https://live.themewild.com/constro/assets/img/icon/construction-2.svg	D:/school2/school/live.themewild.com/constro/assets/img/icon/construction-2.svg	(from https://live.themewild.com/constro/index-3.html)
13:22:20	4221/4221	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2023%20Oct%202024%2010:53:26%20GMT	https://live.themewild.com/constro/assets/img/icon/team.svg	D:/school2/school/live.themewild.com/constro/assets/img/icon/team.svg	(from https://live.themewild.com/constro/index-3.html)
13:22:20	8150/8150	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2025%20Oct%202024%2003:27:01%20GMT	https://live.themewild.com/constro/assets/img/icon/certified.svg	D:/school2/school/live.themewild.com/constro/assets/img/icon/certified.svg	(from https://live.themewild.com/constro/index-3.html)
13:22:21	102166/102166	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2008:15:07%20GMT	https://live.themewild.com/constro/assets/img/portfolio/01.jpg	D:/school2/school/live.themewild.com/constro/assets/img/portfolio/01.jpg	(from https://live.themewild.com/constro/index-3.html)
13:22:21	50685/50685	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Dec%202024%2010:51:44%20GMT	https://live.themewild.com/constro/assets/img/choose/01.jpg	D:/school2/school/live.themewild.com/constro/assets/img/choose/01.jpg	(from https://live.themewild.com/constro/index-3.html)
13:22:21	54655/54655	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2008:16:08%20GMT	https://live.themewild.com/constro/assets/img/portfolio/02.jpg	D:/school2/school/live.themewild.com/constro/assets/img/portfolio/02.jpg	(from https://live.themewild.com/constro/index-3.html)
13:22:22	82960/82960	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2008:17:34%20GMT	https://live.themewild.com/constro/assets/img/portfolio/03.jpg	D:/school2/school/live.themewild.com/constro/assets/img/portfolio/03.jpg	(from https://live.themewild.com/constro/index-3.html)
13:22:22	53806/53806	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2008:20:08%20GMT	https://live.themewild.com/constro/assets/img/portfolio/04.jpg	D:/school2/school/live.themewild.com/constro/assets/img/portfolio/04.jpg	(from https://live.themewild.com/constro/index-3.html)
13:22:22	85261/85261	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2008:22:14%20GMT	https://live.themewild.com/constro/assets/img/portfolio/05.jpg	D:/school2/school/live.themewild.com/constro/assets/img/portfolio/05.jpg	(from https://live.themewild.com/constro/index-3.html)
13:22:23	61574/61574	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202024%2001:51:51%20GMT	https://live.themewild.com/constro/assets/img/team/01.jpg	D:/school2/school/live.themewild.com/constro/assets/img/team/01.jpg	(from https://live.themewild.com/constro/index-3.html)
13:22:23	60148/60148	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202024%2002:01:04%20GMT	https://live.themewild.com/constro/assets/img/team/02.jpg	D:/school2/school/live.themewild.com/constro/assets/img/team/02.jpg	(from https://live.themewild.com/constro/index-3.html)
